Name of video: Learn German with Video - 5 Must-Know German Words 2 thread #: 1 Time: 1718197206.04346 URL: https://www.youtube.com/watch?v=FBe3Ta2d5qk

Name of video: Deutsch lernen mit Videos / Learn German with videos! thread #: 0 Time: 1718197206.050491 URL: https://www.youtube.com/watch?v=nd0Y_iIaJns

Name of video: Ecuadorianische Arbeiter kï¿½mpfen fï¿½r ihre Rechte | DW Nachrichten thread #: 3 Time: 1718197206.750954 URL: https://www.youtube.com/watch?v=f7CiSMukj4M

Name of video: Freedom of Speech Award fï¿½r Kremlgegnerin Julia Nawalnaja | DW Nachrichten thread #: 4 Time: 1718197206.801388 URL: https://www.youtube.com/watch?v=1-7vSTsy2Gw

Name of video: Emotionale Generaldebatte im Bundestag | DW Deutsch thread #: 6 Time: 1718197208.2715456 URL: https://www.youtube.com/watch?v=mTXXrqN4aYI

Name of video: Europawahl: Wï¿½rden Wahlverluste der Grï¿½nen die Klimaversprechen gefï¿½hrden? | DW Nachrichten thread #: 7 Time: 1718197208.5341115 URL: https://www.youtube.com/watch?v=67mqjUNIVOE

Name of video: Wie eine ï¿½rztin Roma-Kindern in Bulgarien rettet | DW Nachrichten thread #: 10 Time: 1718197210.734763 URL: https://www.youtube.com/watch?v=PnZoPcxDkEg

Name of video: Faktencheck: 5 Fakes vom Ukraine-Krieg | DW Nachrichten thread #: 9 Time: 1718197211.0291069 URL: https://www.youtube.com/watch?v=UxEExedZ0QA

Name of video: Das groï¿½e EM-Quiz: Wie uns die Uefa abzockt | heute-show vom 07.06.2024 thread #: 8 Time: 1718197211.0450869 URL: https://www.youtube.com/watch?v=FmsgizStyDU

Name of video: Deutschland modernisiert das Militï¿½r | DW Nachrichten thread #: 11 Time: 1718197214.0912468 URL: https://www.youtube.com/watch?v=_HBjd3fNdI0

Name of video: Ukrainische Drohnen treffen Raffinerien und Fabriken tief in Russland | DW Nachrichten thread #: 13 Time: 1718197214.983802 URL: https://www.youtube.com/watch?v=aucqq6kYqsQ

Name of video: Rettet KI die Schwerindustrie? | DW Nachrichten thread #: 12 Time: 1718197215.1142204 URL: https://www.youtube.com/watch?v=V4rRPfDpF1s

Name of video: Wegen angeblicher Spionage: Gershkovich schon seit mehr als einem Jahr in Haft | DW Nachrichten thread #: 14 Time: 1718197215.6851404 URL: https://www.youtube.com/watch?v=sDjPD4w9a-s
Name of video: Mit welchen Themen lassen sich in der EU Mehrheiten gewinnen? | DW Nachrichten thread #: 2 Time: 1718197220.1589196 URL: https://www.youtube.com/watch?v=w507nWGAxZ4

Name of video: Europawahlen: EU kï¿½mpft gegen russische Desinformation | DW Nachrichten thread #: 5 Time: 1718197221.0737975 URL: https://www.youtube.com/watch?v=3RV__p-kOg8

Name of video: Mit welchen Themen lassen sich in der EU Mehrheiten gewinnen? | DW Nachrichten thread #: 2 Time: 1718210764.9160867 URL: https://www.youtube.com/watch?v=w507nWGAxZ4

Name of video: Freedom of Speech Award für Kremlgegnerin Julia Nawalnaja | DW Nachrichten thread #: 4 Time: 1718210764.9410896 URL: https://www.youtube.com/watch?v=1-7vSTsy2Gw

Name of video: Learn German with Video - 5 Must-Know German Words 2 thread #: 1 Time: 1718210765.7317057 URL: https://www.youtube.com/watch?v=FBe3Ta2d5qk

Name of video: Emotionale Generaldebatte im Bundestag | DW Deutsch thread #: 6 Time: 1718210766.8462555 URL: https://www.youtube.com/watch?v=mTXXrqN4aYI

Name of video: Europawahlen: EU kämpft gegen russische Desinformation | DW Nachrichten thread #: 5 Time: 1718210767.0284348 URL: https://www.youtube.com/watch?v=3RV__p-kOg8

Name of video: Europawahl: Würden Wahlverluste der Grünen die Klimaversprechen gefährden? | DW Nachrichten thread #: 7 Time: 1718210767.7854578 URL: https://www.youtube.com/watch?v=67mqjUNIVOE

Name of video: Das große EM-Quiz: Wie uns die Uefa abzockt | heute-show vom 07.06.2024 thread #: 8 Time: 1718210768.6751878 URL: https://www.youtube.com/watch?v=FmsgizStyDU

Name of video: Faktencheck: 5 Fakes vom Ukraine-Krieg | DW Nachrichten thread #: 9 Time: 1718210768.7282522 URL: https://www.youtube.com/watch?v=UxEExedZ0QA

Name of video: Wie eine Ärztin Roma-Kindern in Bulgarien rettet | DW Nachrichten thread #: 10 Time: 1718210769.9230142 URL: https://www.youtube.com/watch?v=PnZoPcxDkEg

Name of video: Ecuadorianische Arbeiter kämpfen für ihre Rechte | DW Nachrichten thread #: 3 Time: 1718210769.9620142 URL: https://www.youtube.com/watch?v=f7CiSMukj4M

Name of video: Deutschland modernisiert das Militär | DW Nachrichten thread #: 11 Time: 1718210770.5998712 URL: https://www.youtube.com/watch?v=_HBjd3fNdI0

Name of video: Rettet KI die Schwerindustrie? | DW Nachrichten thread #: 12 Time: 1718210770.6839697 URL: https://www.youtube.com/watch?v=V4rRPfDpF1s

Name of video: Ukrainische Drohnen treffen Raffinerien und Fabriken tief in Russland | DW Nachrichten thread #: 13 Time: 1718210771.82317 URL: https://www.youtube.com/watch?v=aucqq6kYqsQ

Name of video: Wegen angeblicher Spionage: Gershkovich schon seit mehr als einem Jahr in Haft | DW Nachrichten thread #: 14 Time: 1718210771.888746 URL: https://www.youtube.com/watch?v=sDjPD4w9a-s
Name of video: Trump als erster Ex-US-Präsident wegen Verbrechen verurteilt | DW Nachrichten thread #: 0 Time: 1718210773.6531422 URL: https://www.youtube.com/watch?v=eE1EkigGIvk

